address,name,phone
"3949 Clairemont Dr Ste 3               Clairemont, CA, 92117",Touch of Thai Massage,619-889-3281
"3052 Clairemont Dr, Ste F    San Diego, CA, 92117",Blue Sky Spa,626-328-5382  
"4089 Genesee Ave   San Diego, CA, 92111",Mesa Spa,858-277-6666   
" 2710 Garnet Ave #107   San Diego, CA, 92109",Water Spa,858-209-4377  
"776 Fletcher Pkwy, Ste A               El Cajon, CA, 90920",Apollo Spa,619-389-7773
"1530 Jamacha Road                El Cajon, CA, 92019",Perfecta Spa,619-588-1288
"1246 E Main St #112               El Cajon, CA, 92021",Cajon Massage,619-588-8888
"1464 Graves ave #106               El Cajon, CA, 92021",East County Massage,619-579-9999
"1558 N Magnolia Ave, Ste D               El Cajon, CA, 92020",F&H,619-704-5986
"1571 N Magnolia Ave #208               El Cajon, CA, 92020",Hello Massage,619-562-7777
"700 N Johnson Ave #C               El Cajon, CA, 92020",Best Foot Spa,619-588-1066
"700 N Johnson Ave, Suite E               El Cajon, CA, 92020",Allure Bodyworks,619-500-6358
"275 W Madison Ave               El Cajon, CA, 92020",Spa 33,619-401-1111
"592 N Westwind Dr               El Cajon, CA, 92020",Heaven Sent Massage,619-588-2639
"450 Fletcher Park Way Ste. 206               El Cajon, CA, 92020",Spring Acupuncture Clinic,619-588-2888
"505 North Mollison #202B               El Cajon, CA, 92021",El Cajon Ocean Spa,619-919-1571
"9565 Jamacha Blvd               Spring Valley, CA, 91978",Lucky Massage,619-512-1918
"8931 Campo Rd               Spring Valley, CA, 91977",Maple Spa,619-337-2491
"9723 Campo Road               Spring Valley, CA, 91977",Asian Foot Massage Spa,619-277-8034
"540 Grand Ave               Spring Valley, CA, 91977",Amber Massage Spa,619-773-6688
"9676 Campo Rd. Ste A               Spring Valley, CA, 91978",Foot & Body Massage,619-303-9300
"10783 Jamacha Blvd               Spring Valley, CA, 91978",Diamond Massage,619-724-6598
"2615 Sweetwater Springs Blvd               Spring Valley, CA, 91978",5 Star Massage,619-724-6628
"9621 Campo Road               Spring Valley, CA, 91977",Cozy Thai,619-586-8318
"7408 University Ave               La Mesa, CA, 91941",Queen Spa,619-319-4739
"8304 Parkway Dr               La Mesa, CA, 91942",Diamond Spa,619-315-7261
"5208 Jackson dr #112               La Mesa, CA, 91942",I Massage,619-929-5258
"8182 Parkway Dr                La Mesa, CA, 91942",Parkway Spa,619-589-8888
"1959 Grand Ave               Pacific Beach, CA, 92109",Genesis Massage,858-886-7727
"1811 Garnet Ave San Diego CA 92109               Pacific Beach, CA, 92109",Star Massage,858-262-4414
"2280 Garnet Ave Ste 201   San Diego, CA, 92109",PB Massage And Spa,858-272-2788   
"1943 Grand Ave, Suite A    San Diego, CA, 92109",Arigato Acupressure,858-274-5371   
"1811 Garnet Ave   San Diego, CA, 92109",Seaside Spa,858-263-4508   
"9029 Park Plaza Dr #101               La Mesa, CA, 91942",Blue Lotus Holistic Center,619-460-2583
"7747 University Ave               La Mesa, CA, 91941",June Spa,619-463-1000
"8042 La Mesa Blvd               La Mesa, CA, 91942",Mesa Spa,619-698-1111
"7960 University Ave, Suite 220               La Mesa, CA, 91945",Luxury Asian Massage,619-589-0814
"8911 La Mesa Blvd, #106               La Mesa, CA, 91942",Holistic Health Center,619-644-2680
"7747 University Ave               La Mesa, CA, 91942",Elite Spa,619-337-7777
"1515 Palm Ave Suite G               San Diego, CA, 92154",Golden Touch Wellness,619-423-3377
"8898 Clairemont Mesa Blvd #B               San Diego, CA, 92123",Rose Massage,858-216-6233
"10484 Clairemont Mesa Blvd               San Diego, CA, 92124",Santo Asian Spa,858-505-9688
"4805 Mercury St,  Suite D               San Diego, CA, 92111",A Spa,858-314-0251
"4120 Clairemont Mesa Blvd #101B               San Diego, CA, 92117",Golden Wood Spa,858-273-2789
"8855 Balboa Ave. #H               San Diego, CA, 92123",Smile Spa,626-677-1384
"4722 Clairemont Mesa Blvd               San Diego, CA, 92117",Yeliya Spa,858-581-6699
"3817 32nd St               San Diego, CA, 92104",Won's Acupressure,619-563-5777 & 619-317-6047
"7094 Miramar Rd #121               San Diego, CA, 92121",Miramar Relax Spa,858-635-9121
"5995 Mission Gorge Rd               San Diego, CA, 92120",Jasmine Spa,619-528-0758
"3904 Convoy St Ste 118               San Diego, CA, 92184",Aria Spa Oriental Massage,858-495-0777
"4009 Park Blvd #15               San Diego, CA, 92103",Asian Massage,619-977-9271
"711 Fourth Ave #201               San Diego, CA, 92101",Bangkok Day Spa,619-693-5388
"4237 Convoy St               San Diego, CA, 92111",Paradise Massage & Foot Spa,858-268-6868
"9888 Carmel Mountain Rd #G               San Diego, CA, 92129",PQ Oriental Massage,858-484-1400
"1550 East H St #I               Chula Vista, CA, 91913",New Life Massage Spa,619-656-7888
"401 H St #9               Chula Vista, CA, 91910",Sunny Day Spa,619-678-2999
"1177 Broadway               Chula Vista, CA, 91911",Tai Chi Health Massage Spa,619-476-1823
"4360 Main St # 209               Chula Vista, CA, 91911",Chinese Asian Massage,619-874-7177
"3404 Bonita Rd               Chula Vista, CA, 91910",Arcadia Massage Spa,619-882-5212
"527 H St               Chula Vista, CA, 91910",Rainbow Spa,619-816-5566
